code, time total, target uri, method, date, time
2.05, 62, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 17:36:06
2.05, 311, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 17:36:09
2.05, 197, coap://3.127.229.173:5683/things, get, 30.4.2020, 17:36:11
2.05, 91, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 17:36:14
2.05, 72, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 17:36:15
2.05, 338, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 17:36:17
2.05, 110, coap://3.124.216.124:5683/things, get, 30.4.2020, 17:36:19
2.05, 78, coap://52.59.194.201:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 17:36:21
2.05, 74, coap://52.59.194.201:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 17:36:23
2.05, 301, coap://52.59.194.201:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 17:36:25
2.05, 120, coap://52.59.194.201:5683/things, get, 30.4.2020, 17:36:27
2.05, 108, coap://18.194.217.36:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 17:36:29
2.05, 60, coap://18.194.217.36:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 17:36:31
2.05, 400, coap://18.194.217.36:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 17:36:34
2.05, 125, coap://18.194.217.36:5683/things, get, 30.4.2020, 17:36:35
2.05, 199, coap://3.127.232.210:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 17:36:37
2.05, 61, coap://3.127.232.210:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 17:36:40
2.05, 306, coap://3.127.232.210:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 17:36:42
2.05, 138, coap://3.127.232.210:5683/things, get, 30.4.2020, 17:36:44
2.05, 114, coap://35.156.157.65:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 17:36:46
2.05, 82, coap://35.156.157.65:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 17:36:47
2.05, 341, coap://35.156.157.65:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 17:36:50
2.05, 157, coap://35.156.157.65:5683/things, get, 30.4.2020, 17:36:52
2.05, 99, coap://35.159.26.224:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/maximumTemperature, get, 30.4.2020, 17:36:54
2.05, 205, coap://35.159.26.224:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/currentTemperature, get, 30.4.2020, 17:36:55
2.05, 306, coap://35.159.26.224:5683/things/3S7PM0CP4BD/120636, get, 30.4.2020, 17:36:58
2.05, 142, coap://35.159.26.224:5683/things, get, 30.4.2020, 17:37:00
2.04, 65, coap://18.197.149.111:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, put, 30.4.2020, 17:37:02
2.05, 173, coap://18.197.149.111:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:37:03
4.00, 73, coap://18.197.149.111:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:37:05
2.01, 121, coap://18.197.149.111:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, post, 30.4.2020, 17:37:08
2.05, 81, coap://18.197.149.111:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:37:10
4.00, 86, coap://18.197.149.111:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:37:12
2.04, 74, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, put, 30.4.2020, 17:37:14
2.05, 60, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:37:16
4.00, 76, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:37:18
2.01, 64, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, post, 30.4.2020, 17:37:20
2.05, 102, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:37:23
4.00, 58, coap://18.195.51.121:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:37:25
2.04, 108, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, put, 30.4.2020, 17:37:27
2.05, 72, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:37:30
4.00, 86, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:37:32
2.01, 60, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, post, 30.4.2020, 17:37:33
2.05, 69, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:37:35
4.00, 58, coap://35.156.164.217:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:37:37
2.04, 124, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, put, 30.4.2020, 17:37:39
2.05, 126, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:37:41
4.00, 61, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:37:44
2.01, 85, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, post, 30.4.2020, 17:37:46
2.05, 98, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:37:48
4.00, 60, coap://3.127.229.173:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:37:50
2.04, 145, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, put, 30.4.2020, 17:37:52
2.05, 105, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:37:55
4.00, 77, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:37:56
2.01, 63, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, post, 30.4.2020, 17:37:59
2.05, 80, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:38:01
4.00, 96, coap://3.124.216.124:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, delete, 30.4.2020, 17:38:03
2.04, 74, coap://52.59.194.201:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, put, 30.4.2020, 17:38:05
2.05, 87, coap://52.59.194.201:5683/things/3S7PM0CP4BD/120636/2018-10-24T01-22-30-866Z/unsafeTestTemperature2020-04-30_13-49-3011, get, 30.4.2020, 17:38:07
