2020-4-28T04-36-022:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:36:22 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:36:22 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"26","solid-server-get-request-length":"209","solid-server-get-response-length":"209"}
2020-4-28T04-36-023:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-delete-started-at":"Tue Apr 28 2020 16:36:23 GMT+0000 (Coordinated Universal Time)","solid-server-delete-finished-at":"Tue Apr 28 2020 16:36:23 GMT+0000 (Coordinated Universal Time)","solid-server-delete-duration":"12","solid-server-delete-request-length":"231","solid-server-delete-response-length":"231"}
2020-4-28T04-37-017:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:37:17 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:37:17 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"17","solid-server-get-request-length":"217","solid-server-get-response-length":"217"}
2020-4-28T04-37-017:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:37:17 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:37:17 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"14","solid-server-get-request-length":"217","solid-server-get-response-length":"217"}
2020-4-28T04-37-018:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:37:18 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:37:18 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"42","solid-server-get-request-length":"397","solid-server-get-response-length":"397"}
2020-4-28T04-37-018:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:37:18 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:37:18 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"16","solid-server-get-request-length":"309","solid-server-get-response-length":"309"}
2020-4-28T04-37-032:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-post-started-at":"Tue Apr 28 2020 16:37:32 GMT+0000 (Coordinated Universal Time)","solid-server-post-finished-at":"Tue Apr 28 2020 16:37:32 GMT+0000 (Coordinated Universal Time)","solid-server-post-duration":"7","solid-server-post-request-length":"895","solid-server-post-response-length":"895"}
2020-4-28T04-37-032:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:37:32 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:37:32 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"15","solid-server-get-request-length":"213","solid-server-get-response-length":"213"}
2020-4-28T04-37-032:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-delete-started-at":"Tue Apr 28 2020 16:37:32 GMT+0000 (Coordinated Universal Time)","solid-server-delete-finished-at":"Tue Apr 28 2020 16:37:32 GMT+0000 (Coordinated Universal Time)","solid-server-delete-duration":"6","solid-server-delete-request-length":"235","solid-server-delete-response-length":"235"}
2020-4-28T04-37-032:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-put-started-at":"Tue Apr 28 2020 16:37:32 GMT+0000 (Coordinated Universal Time)","solid-server-put-finished-at":"Tue Apr 28 2020 16:37:32 GMT+0000 (Coordinated Universal Time)","solid-server-put-duration":"2","solid-server-put-request-length":"904","solid-server-put-response-length":"904"}
2020-4-28T04-37-033:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:37:33 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:37:33 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"39","solid-server-get-request-length":"209","solid-server-get-response-length":"209"}
2020-4-28T04-37-033:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-delete-started-at":"Tue Apr 28 2020 16:37:33 GMT+0000 (Coordinated Universal Time)","solid-server-delete-finished-at":"Tue Apr 28 2020 16:37:33 GMT+0000 (Coordinated Universal Time)","solid-server-delete-duration":"38","solid-server-delete-request-length":"231","solid-server-delete-response-length":"231"}
2020-4-28T04-39-022:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:39:22 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:39:22 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"13","solid-server-get-request-length":"217","solid-server-get-response-length":"217"}
2020-4-28T04-39-022:	{"uri":"https://ec2-18-196-57-89.eu-central-1.compute.amazonaws.com","solid-server-get-started-at":"Tue Apr 28 2020 16:39:22 GMT+0000 (Coordinated Universal Time)","solid-server-get-finished-at":"Tue Apr 28 2020 16:39:22 GMT+0000 (Coordinated Universal Time)","solid-server-get-duration":"13","solid-server-get-request-length":"217","solid-server-get-response-length":"217"}
